"category","problem","MH","avg_fit","Opt"
"crafted","brock800_1.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",222.2,"205"
"crafted","brock800_1.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",213.13333333333333,"205"
"crafted","brock800_1.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",223.2,"205"
"crafted","brock800_2.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",233.14285714285714,"207"
"crafted","brock800_2.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",238.78571428571428,"207"
"crafted","brock800_2.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",209.64285714285714,"207"
"crafted","brock800_2.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",209.21428571428572,"207"
"crafted","brock800_2.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",217.21428571428572,"207"
"crafted","brock800_2.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",235.85714285714286,"207"
"crafted","brock800_2.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",229.2,"207"
"crafted","brock800_2.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",214.86666666666667,"207"
"crafted","brock800_2.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",222.06666666666666,"207"
"crafted","brock800_2.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",212.86666666666667,"207"
"crafted","brock800_2.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",213.8,"207"
"crafted","brock800_2.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",222.13333333333333,"207"
"crafted","brock800_2.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",215.06666666666666,"207"
"crafted","brock800_2.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",224.26666666666668,"207"
"crafted","brock800_3.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",230.85714285714286,"203"
"crafted","brock800_3.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",236.07142857142858,"203"
"crafted","brock800_3.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",208.35714285714286,"203"
"crafted","brock800_3.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",207.07142857142858,"203"
